Stock Name,Stock Code,Date,Open,Close,High,Low,Volume,Turnover,Amplitude,Change Percent,Change Amount,Turnover Rate
腾讯控股,700,2004-06-16,-29.061,-29.105,-29.012,-29.119,439775008,1947628032.0,-0.37,0.3,0.087,26.17
腾讯控股,700,2004-06-17,-29.105,-29.09,-29.061,-29.109,83801504,355632992.0,-0.16,0.05,0.015,4.99
腾讯控股,700,2004-06-18,-29.095,-29.129,-29.085,-29.143,36598000,149216992.0,-0.2,-0.13,-0.039,2.18
腾讯控股,700,2004-06-21,-29.109,-29.134,-29.109,-29.143,22817000,92101000.0,-0.12,-0.02,-0.005,1.36
腾讯控股,700,2004-06-23,-29.124,-29.051,-29.046,-29.129,55016000,234416992.0,-0.28,0.28,0.083,3.27
腾讯控股,700,2004-06-24,-29.042,-29.042,-29.032,-29.071,34723000,154304992.0,-0.13,0.03,0.009,2.07
腾讯控股,700,2004-06-25,-29.042,-29.056,-29.027,-29.066,21212500,94840000.0,-0.13,-0.05,-0.014,1.26
腾讯控股,700,2004-06-28,-29.061,-29.076,-29.056,-29.085,14746000,63588000.0,-0.1,-0.07,-0.02,0.88
腾讯控股,700,2004-06-29,-29.076,-29.071,-29.051,-29.076,15081500,65692000.0,-0.09,0.02,0.005,0.9
腾讯控股,700,2004-06-30,-29.066,-29.076,-29.051,-29.076,12217000,53199000.0,-0.09,-0.02,-0.005,0.73
腾讯控股,700,2004-07-02,-29.08,-29.066,-29.061,-29.1,13026000,56038000.0,-0.13,0.03,0.01,0.78
腾讯控股,700,2004-07-05,-29.071,-29.061,-29.056,-29.071,14264000,61832000.0,-0.05,0.02,0.005,0.82
腾讯控股,700,2004-07-06,-29.061,-29.056,-29.046,-29.066,15429000,67928000.0,-0.07,0.02,0.005,0.88
腾讯控股,700,2004-07-07,-29.061,-29.08,-29.061,-29.085,13135000,56501000.0,-0.08,-0.08,-0.024,0.75
腾讯控股,700,2004-07-08,-29.085,-29.114,-29.085,-29.119,21149000,87504000.0,-0.12,-0.12,-0.034,1.21
腾讯控股,700,2004-07-09,-29.114,-29.119,-29.109,-29.129,9376000,38200000.0,-0.07,-0.02,-0.005,0.54
腾讯控股,700,2004-07-12,-29.119,-29.139,-29.109,-29.139,11970000,48244000.0,-0.1,-0.07,-0.02,0.69
腾讯控股,700,2004-07-13,-29.134,-29.129,-29.124,-29.139,10934000,43735000.0,-0.05,0.03,0.01,0.63
腾讯控股,700,2004-07-14,-29.129,-29.177,-29.129,-29.182,19638000,75304000.0,-0.18,-0.16,-0.048,1.13
腾讯控股,700,2004-07-15,-29.168,-29.197,-29.168,-29.221,11319000,41480000.0,-0.18,-0.07,-0.02,0.65
腾讯控股,700,2004-07-16,-29.202,-29.192,-29.182,-29.207,4126500,15344000.0,-0.09,0.02,0.005,0.24
腾讯控股,700,2004-07-19,-29.192,-29.177,-29.177,-29.211,5321000,19808000.0,-0.12,0.05,0.015,0.31
腾讯控股,700,2004-07-20,-29.187,-29.182,-29.177,-29.192,3436000,12779000.0,-0.05,-0.02,-0.005,0.2
腾讯控股,700,2004-07-21,-29.173,-29.173,-29.158,-29.182,10495000,39951000.0,-0.08,0.03,0.009,0.6
腾讯控股,700,2004-07-22,-29.182,-29.221,-29.182,-29.231,13831000,49782000.0,-0.17,-0.16,-0.048,0.79
腾讯控股,700,2004-07-23,-29.221,-29.226,-29.216,-29.231,4668000,16438000.0,-0.05,-0.02,-0.005,0.27
